station_id,trx_month,hot_dog_sales_pcs
station_007,1/1/2021,2014
station_007,2/1/2021,1870
station_007,3/1/2021,1819
station_007,4/1/2021,1860
station_007,5/1/2021,2319
station_007,6/1/2021,2518
station_007,7/1/2021,2219
station_007,8/1/2021,2201
station_007,9/1/2021,2079
station_007,10/1/2021,2204
station_007,11/1/2021,1603
station_007,12/1/2021,1543
station_007,1/1/2022,1475
station_007,2/1/2022,1291
station_007,3/1/2022,2455
station_007,4/1/2022,2718
station_007,5/1/2022,3447
station_007,6/1/2022,2741
station_007,7/1/2022,2669
station_007,8/1/2022,2916
station_007,9/1/2022,2913
station_007,10/1/2022,3493
station_007,11/1/2022,3465
station_007,12/1/2022,3092
station_007,1/1/2023,3210
station_007,2/1/2023,3310
station_007,3/1/2023,4339
station_007,4/1/2023,4665
station_007,5/1/2023,5407
station_007,6/1/2023,5041
station_007,7/1/2023,5027
station_007,8/1/2023,5392
station_007,9/1/2023,5340
station_007,10/1/2023,4908
station_007,11/1/2023,5038
station_007,12/1/2023,4981
station_007,1/1/2024,4654
station_007,2/1/2024,4627
station_007,3/1/2024,6212
station_007,4/1/2024,6430
station_007,5/1/2024,6071
station_007,6/1/2024,6907
station_007,7/1/2024,7559
station_007,8/1/2024,7833
station_007,9/1/2024,7236
station_007,10/1/2024,7016
